Region,InstanceCode,Price
ap-northeast-1,c1.medium,0.158
ap-northeast-1,c1.xlarge,0.632
ap-northeast-1,c3.2xlarge,0.511
ap-northeast-1,c3.4xlarge,1.021
ap-northeast-1,c3.8xlarge,2.043
ap-northeast-1,c3.large,0.128
ap-northeast-1,c3.xlarge,0.255
ap-northeast-1,cc2.8xlarge,2.349
ap-northeast-1,cr1.8xlarge,4.105
ap-northeast-1,g2.2xlarge,0.898
ap-northeast-1,hi1.4xlarge,3.276
ap-northeast-1,m1.large,0.243
ap-northeast-1,m1.medium,0.122
ap-northeast-1,m1.small,0.061
ap-northeast-1,m1.xlarge,0.486
ap-northeast-1,m2.2xlarge,0.575
ap-northeast-1,m2.4xlarge,1.15
ap-northeast-1,m2.xlarge,0.287
ap-northeast-1,m3.2xlarge,0.81
ap-northeast-1,m3.large,0.203
ap-northeast-1,m3.medium,0.101
ap-northeast-1,m3.xlarge,0.405
ap-northeast-1,r3.2xlarge,0.84
ap-northeast-1,r3.4xlarge,1.68
ap-northeast-1,r3.8xlarge,3.36
ap-northeast-1,r3.large,0.21
ap-northeast-1,r3.xlarge,0.42
ap-northeast-1,t1.micro,0.026
ap-southeast-1,c1.medium,0.164
ap-southeast-1,c1.xlarge,0.655
ap-southeast-1,c3.2xlarge,0.529
ap-southeast-1,c3.4xlarge,1.058
ap-southeast-1,c3.8xlarge,2.117
ap-southeast-1,c3.large,0.132
ap-southeast-1,c3.xlarge,0.265
ap-southeast-1,g2.2xlarge,1
ap-southeast-1,m1.large,0.233
ap-southeast-1,m1.medium,0.117
ap-southeast-1,m1.small,0.058
ap-southeast-1,m1.xlarge,0.467
ap-southeast-1,m2.2xlarge,0.592
ap-southeast-1,m2.4xlarge,1.183
ap-southeast-1,m2.xlarge,0.296
ap-southeast-1,m3.2xlarge,0.784
ap-southeast-1,m3.large,0.196
ap-southeast-1,m3.medium,0.098
ap-southeast-1,m3.xlarge,0.392
ap-southeast-1,r3.2xlarge,0.84
ap-southeast-1,r3.4xlarge,1.68
ap-southeast-1,r3.8xlarge,3.36
ap-southeast-1,r3.large,0.21
ap-southeast-1,r3.xlarge,0.42
ap-southeast-1,t1.micro,0.02
ap-southeast-2,c1.medium,0.164
ap-southeast-2,c1.xlarge,0.655
ap-southeast-2,c3.2xlarge,0.529
ap-southeast-2,c3.4xlarge,1.058
ap-southeast-2,c3.8xlarge,2.117
ap-southeast-2,c3.large,0.132
ap-southeast-2,c3.xlarge,0.265
ap-southeast-2,g2.2xlarge,0.898
ap-southeast-2,m1.large,0.233
ap-southeast-2,m1.medium,0.117
ap-southeast-2,m1.small,0.058
ap-southeast-2,m1.xlarge,0.467
ap-southeast-2,m2.2xlarge,0.592
ap-southeast-2,m2.4xlarge,1.183
ap-southeast-2,m2.xlarge,0.296
ap-southeast-2,m3.2xlarge,0.784
ap-southeast-2,m3.large,0.196
ap-southeast-2,m3.medium,0.098
ap-southeast-2,m3.xlarge,0.392
ap-southeast-2,r3.2xlarge,0.84
ap-southeast-2,r3.4xlarge,1.68
ap-southeast-2,r3.8xlarge,3.36
ap-southeast-2,r3.large,0.21
ap-southeast-2,r3.xlarge,0.42
ap-southeast-2,t1.micro,0.02
eu-west-1,c1.medium,0.148
eu-west-1,c1.xlarge,0.592
eu-west-1,c3.2xlarge,0.478
eu-west-1,c3.4xlarge,0.956
eu-west-1,c3.8xlarge,1.912
eu-west-1,c3.large,0.12
eu-west-1,c3.xlarge,0.239
eu-west-1,cc2.8xlarge,2.25
eu-west-1,cg1.4xlarge,2.36
eu-west-1,cr1.8xlarge,3.75
eu-west-1,g2.2xlarge,0.702
eu-west-1,hi1.4xlarge,3.1
eu-west-1,m1.large,0.19
eu-west-1,m1.medium,0.095
eu-west-1,m1.small,0.047
eu-west-1,m1.xlarge,0.379
eu-west-1,m2.2xlarge,0.55
eu-west-1,m2.4xlarge,1.1
eu-west-1,m2.xlarge,0.275
eu-west-1,m3.2xlarge,0.616
eu-west-1,m3.large,0.154
eu-west-1,m3.medium,0.077
eu-west-1,m3.xlarge,0.308
eu-west-1,r3.2xlarge,0.78
eu-west-1,r3.4xlarge,1.56
eu-west-1,r3.8xlarge,3.12
eu-west-1,r3.large,0.195
eu-west-1,r3.xlarge,0.39
eu-west-1,t1.micro,0.02
sa-east-1,c1.medium,0.179
sa-east-1,c1.xlarge,0.718
sa-east-1,c3.2xlarge,0.65
sa-east-1,c3.4xlarge,1.3
sa-east-1,c3.8xlarge,2.6
sa-east-1,c3.large,0.163
sa-east-1,c3.xlarge,0.325
sa-east-1,m1.large,0.233
sa-east-1,m1.medium,0.117
sa-east-1,m1.small,0.058
sa-east-1,m1.xlarge,0.467
sa-east-1,m2.2xlarge,0.645
sa-east-1,m2.4xlarge,1.291
sa-east-1,m2.xlarge,0.323
sa-east-1,m3.2xlarge,0.761
sa-east-1,m3.large,0.19
sa-east-1,m3.medium,0.095
sa-east-1,m3.xlarge,0.381
sa-east-1,t1.micro,0.027
us-east-1,c1.medium,0.13
us-east-1,c1.xlarge,0.52
us-east-1,c3.2xlarge,0.42
us-east-1,c3.4xlarge,0.84
us-east-1,c3.8xlarge,1.68
us-east-1,c3.large,0.105
us-east-1,c3.xlarge,0.21
us-east-1,cc1.4xlarge,1
us-east-1,cc2.8xlarge,2
us-east-1,cg1.4xlarge,2.1
us-east-1,cr1.8xlarge,3.5
us-east-1,g2.2xlarge,0.65
us-east-1,hi1.4xlarge,3.1
us-east-1,m1.large,0.175
us-east-1,m1.medium,0.087
us-east-1,m1.small,0.044
us-east-1,m1.xlarge,0.35
us-east-1,m2.2xlarge,0.49
us-east-1,m2.4xlarge,0.98
us-east-1,m2.xlarge,0.245
us-east-1,m3.2xlarge,0.56
us-east-1,m3.large,0.14
us-east-1,m3.medium,0.07
us-east-1,m3.xlarge,0.28
us-east-1,r3.2xlarge,0.7
us-east-1,r3.4xlarge,1.4
us-east-1,r3.8xlarge,2.8
us-east-1,r3.large,0.175
us-east-1,r3.xlarge,0.35
us-east-1,t1.micro,0.02
us-west-1,c1.medium,0.148
us-west-1,c1.xlarge,0.592
us-west-1,c3.2xlarge,0.478
us-west-1,c3.4xlarge,0.956
us-west-1,c3.8xlarge,1.912
us-west-1,c3.large,0.12
us-west-1,c3.xlarge,0.239
us-west-1,g2.2xlarge,0.702
us-west-1,m1.large,0.19
us-west-1,m1.medium,0.095
us-west-1,m1.small,0.047
us-west-1,m1.xlarge,0.379
us-west-1,m2.2xlarge,0.55
us-west-1,m2.4xlarge,1.1
us-west-1,m2.xlarge,0.275
us-west-1,m3.2xlarge,0.616
us-west-1,m3.large,0.154
us-west-1,m3.medium,0.077
us-west-1,m3.xlarge,0.308
us-west-1,r3.2xlarge,0.78
us-west-1,r3.4xlarge,1.56
us-west-1,r3.8xlarge,3.12
us-west-1,r3.large,0.195
us-west-1,r3.xlarge,0.39
us-west-1,t1.micro,0.025
us-west-2,c1.medium,0.13
us-west-2,c1.xlarge,0.52
us-west-2,c3.2xlarge,0.42
us-west-2,c3.4xlarge,0.84
us-west-2,c3.8xlarge,1.68
us-west-2,c3.large,0.105
us-west-2,c3.xlarge,0.21
us-west-2,cc2.8xlarge,2
us-west-2,cr1.8xlarge,3.5
us-west-2,g2.2xlarge,0.65
us-west-2,hi1.4xlarge,3.1
us-west-2,m1.large,0.175
us-west-2,m1.medium,0.087
us-west-2,m1.small,0.044
us-west-2,m1.xlarge,0.35
us-west-2,m2.2xlarge,0.49
us-west-2,m2.4xlarge,0.98
us-west-2,m2.xlarge,0.245
us-west-2,m3.2xlarge,0.56
us-west-2,m3.large,0.14
us-west-2,m3.medium,0.07
us-west-2,m3.xlarge,0.28
us-west-2,r3.2xlarge,0.7
us-west-2,r3.4xlarge,1.4
us-west-2,r3.8xlarge,2.8
us-west-2,r3.large,0.175
us-west-2,r3.xlarge,0.35
us-west-2,t1.micro,0.02
